Store ID,Store Name,Store Size,Region/Zone,Product_id,Category,Location,Purchase Amount (USD),Promo_code,Discount,Date,Previous Purchases,Age,Gender,Review Rating,Customer_ID
1596,Store_1596,Large,South,24,Electronics,"California, Urban",324.385,1,5,2021-11-17 12:49:56,5,45,Male,3,333
1342,Store_1342,Small,East,22,Electronics,"New York, Suburban",61.86,0,5,2022-04-13 21:48:35,11,45,Female,3,364
1502,Store_1502,Large,East,2,Clothing,"New York, Downtown",28.36,1,15,2022-07-25 13:40:26,10,18,Female,1,333
1449,Store_1449,Large,North,75,Accessories,"Texas, Suburban",336.72900000000004,1,20,2022-03-19 04:17:01,17,65,Female,3,59
1335,Store_1335,Medium,North,13,Clothing,"Texas, Rural",64.012,1,25,2023-08-19 07:23:13,10,35,Female,1,472
1003,Store_1003,Large,East,20,Clothing,"New York, Downtown",449.16400000000004,1,20,2020-02-14 19:05:29,9,18,Female,1,97
1801,Store_1801,Small,North,51,Footwear,"Florida, Coastal",,,10,2022-10-06 01:08:22,11,,,,82
1758,Store_1758,Large,East,54,Footwear,"Florida, Urban",389.29100000000005,1,5,2023-01-21 06:03:58,1,45,Female,4,280
1516,Store_1516,Medium,South,57,Footwear,"California, Coastal",231.00000000000003,0,15,2025-10-13 16:24:51,9,45,Female,2,417
1496,Store_1496,Large,North,35,Electronics,"Illinois, Rural",486.82,1,10,2024-04-01 05:22:23,4,25,Male,4,445
1225,Store_1225,Medium,North,74,Accessories,"California, Suburban",543.634,0,15,2020-06-20 02:29:48,10,35,Male,3,438
1149,Store_1149,Large,North,79,Accessories,"California, Coastal",586.394,1,10,2022-02-02 00:38:28,6,45,Female,4,285
1237,Store_1237,Large,East,62,Accessories,"Illinois, Suburban",23.751,0,10,2024-01-15 06:20:47,7,45,Female,2,346
1659,Store_1659,Medium,North,64,Accessories,"New York, Downtown",424.19000000000005,0,25,2024-03-02 14:37:02,12,65,Female,2,5
1102,Store_1102,Large,South,48,Footwear,"Florida, Suburban",325.07300000000004,1,15,2023-04-19 11:02:08,9,25,Female,1,378
1174,Store_1174,Large,East,32,Electronics,"California, Suburban",483.22499999999997,0,15,2022-07-10 19:07:02,15,45,Female,2,127
1460,Store_1460,Large,North,33,Electronics,"Illinois, Urban",67.705,1,5,2020-11-29 12:54:03,4,25,Female,3,220
1747,Store_1747,Large,South,58,Footwear,"Texas, Suburban",58.675000000000004,1,10,2022-07-27 01:15:30,5,45,Female,1,251
1033,Store_1033,Large,North,37,Electronics,"California, Suburban",380.28000000000003,0,20,2023-01-18 20:25:13,7,25,Female,5,425
1683,Store_1683,Large,North,53,Footwear,"Florida, Suburban",51.78900000000001,1,15,2021-12-20 06:15:26,7,45,Female,4,237
1517,Store_1517,Small,East,72,Accessories,"New York, Suburban",507.572,0,15,2022-11-03 06:59:56,12,35,Female,5,290
1439,Store_1439,Large,North,47,Footwear,"California, Suburban",437.36100000000005,1,30,2025-05-24 19:09:16,8,35,Male,3,83
1284,Store_1284,Large,East,76,Accessories,"California, Urban",97.737,1,5,2022-07-21 05:37:08,6,35,Male,1,388
1224,Store_1224,Large,East,74,Accessories,"Illinois, Rural",302.874,0,5,2023-05-12 02:24:08,15,55,Male,2,362
1564,Store_1564,Small,East,5,Clothing,"Texas, Suburban",361.848,0,15,2023-08-17 17:48:32,10,25,Male,1,198
1256,Store_1256,Medium,West,51,Footwear,"Texas, Urban",484.24300000000005,1,10,2022-06-25 08:28:20,13,45,Male,5,282
1058,Store_1058,Large,South,8,Clothing,"New York, Suburban",593.1959999999999,0,15,2023-09-06 08:54:12,10,35,Female,4,247
1943,Store_1943,Small,East,49,Footwear,"Florida, Coastal",20.284000000000002,0,15,2023-08-05 18:39:20,12,45,Female,3,272
1245,Store_1245,Medium,East,58,Footwear,"New York, Industrial",277.75100000000003,1,5,2022-04-13 03:19:45,6,25,Female,3,451
1518,Store_1518,Medium,West,8,Clothing,"California, Urban",484.332,0,10,2024-12-29 08:18:29,6,18,Female,2,219
1213,Store_1213,Large,East,7,Clothing,"California, Urban",479.964,0,15,2023-03-10 12:10:16,13,18,Female,4,213
1927,Store_1927,Large,North,48,Footwear,"Texas, Rural",313.05,1,5,2022-09-19 07:39:57,5,35,Female,2,61
1589,Store_1589,Large,North,35,Electronics,"Florida, Coastal",158.965,1,20,2022-02-13 16:04:25,13,35,Male,4,219
1700,Store_1700,Medium,South,79,Accessories,"Illinois, Urban",369.14799999999997,0,20,2020-02-04 01:43:56,7,35,Male,3,123
1952,Store_1952,Medium,West,4,Clothing,"Florida, Coastal",242.232,0,15,2021-09-01 04:38:29,12,35,Female,4,409
1818,Store_1818,Large,East,67,Accessories,"California, Coastal",273.611,0,15,2021-11-11 04:09:42,6,35,Female,3,283
1215,Store_1215,Large,East,24,Electronics,"Illinois, Suburban",256.57500000000005,0,25,2024-05-07 06:19:48,8,35,Male,2,326
1402,Store_1402,Small,East,35,Electronics,"Florida, Suburban",121.19999999999999,0,20,2024-10-19 12:16:34,6,18,Male,2,166
1282,Store_1282,Large,South,22,Electronics,"Florida, Urban",557.61,0,0,2024-06-22 21:01:42,6,45,Male,5,218
1830,Store_1830,Medium,North,12,Clothing,"Illinois, Urban",428.59200000000004,0,5,2020-07-09 05:32:54,10,18,Female,1,249
1955,Store_1955,Large,West,26,Electronics,"California, Urban",423.985,1,0,2024-10-20 19:32:12,5,18,Female,2,234
1572,Store_1572,Small,East,6,Clothing,"Florida, Suburban",,,30,2023-07-13 18:49:29,8,,,,467
1572,Store_1572,Large,East,34,Electronics,"Illinois, Suburban",619.6800000000001,0,10,2025-01-08 11:19:12,13,35,Male,5,26
1214,Store_1214,Large,South,66,Accessories,"California, Coastal",114.85499999999999,0,5,2021-09-06 04:58:30,10,35,Female,3,146
1381,Store_1381,Medium,South,61,Accessories,"Illinois, Suburban",299.822,1,10,2025-07-28 22:52:58,9,35,Female,3,63
1044,Store_1044,Large,North,46,Footwear,"Illinois, Rural",363.2420000000001,0,30,2021-04-01 17:38:59,16,25,Female,2,296
1916,Store_1916,Medium,South,78,Accessories,"Florida, Coastal",546.289,1,5,2021-09-30 06:54:34,9,55,Female,3,293
1171,Store_1171,Small,South,56,Footwear,"California, Urban",371.141,1,10,2024-08-23 05:37:56,8,25,Female,2,301
1220,Store_1220,Medium,South,61,Accessories,"Florida, Urban",87.98400000000001,0,10,2020-03-11 08:42:24,6,55,Female,1,28
1384,Store_1384,Large,South,19,Clothing,"New York, Suburban",71.556,0,20,2025-06-15 11:43:38,7,25,Female,3,69
1094,Store_1094,Small,North,78,Accessories,"New York, Downtown",,,0,2020-07-07 18:22:05,12,,,,143
1858,Store_1858,Large,East,42,Footwear,"California, Suburban",322.829,1,25,2020-07-10 10:07:54,6,35,Female,4,332
1043,Store_1043,Large,East,59,Footwear,"Illinois, Urban",141.94400000000002,0,25,2020-07-06 22:25:07,11,25,Female,4,123
1227,Store_1227,Large,North,37,Electronics,"Florida, Coastal",,,10,2022-09-10 23:31:48,6,,,1,270
1573,Store_1573,Medium,South,18,Clothing,"Florida, Urban",71.96799999999999,1,25,2021-03-05 13:18:05,10,18,Female,3,197
1316,Store_1316,Small,East,64,Accessories,"California, Coastal",421.824,0,10,2025-07-05 03:11:08,9,55,Male,1,158
1730,Store_1730,Medium,East,38,Electronics,"California, Coastal",568.755,0,10,2021-04-30 09:04:16,10,18,Male,4,30
1334,Store_1334,Medium,East,65,Accessories,"New York, Industrial",559.39,0,10,2020-07-17 16:31:42,12,35,Female,5,478
1600,Store_1600,Large,East,72,Accessories,"Texas, Suburban",402.27500000000003,1,20,2024-08-08 14:09:42,8,65,Female,4,143
1623,Store_1623,Large,North,35,Electronics,"California, Coastal",275.37,0,15,2022-10-10 23:54:23,10,35,Female,1,108
1718,Store_1718,Medium,East,35,Electronics,"Texas, Urban",360.75,0,5,2025-07-09 04:39:49,8,18,Female,2,57
1999,Store_1999,Large,East,23,Electronics,"California, Suburban",482.56499999999994,0,0,2021-09-26 10:18:32,10,25,Male,2,324
1466,Store_1466,Small,East,23,Electronics,"Illinois, Rural",,,15,2021-08-16 03:34:02,11,,,,201
1878,Store_1878,Small,West,31,Electronics,"Illinois, Rural",498.95500000000004,1,20,2025-04-06 05:32:18,7,25,Male,2,72
1817,Store_1817,Large,North,80,Accessories,"New York, Downtown",635.729,1,25,2022-11-19 21:06:39,8,65,Female,1,25
1714,Store_1714,Large,South,34,Electronics,"New York, Industrial",566.4000000000001,0,20,2023-08-23 20:39:31,10,18,Female,3,81
1296,Store_1296,Large,South,7,Clothing,"Texas, Rural",463.36,1,15,2020-03-30 07:14:54,11,18,Male,3,273
1544,Store_1544,Large,North,58,Footwear,"California, Suburban",452.87,0,10,2023-11-27 06:14:56,12,35,Female,2,295
1488,Store_1488,Small,East,26,Electronics,"Florida, Suburban",363.385,1,30,2021-08-03 05:49:30,5,18,Female,3,350
1214,Store_1214,Large,East,26,Electronics,"New York, Suburban",218.995,1,25,2021-06-20 13:14:32,13,45,Male,5,280
1523,Store_1523,Large,East,71,Accessories,"Florida, Urban",532.948,0,20,2024-06-16 12:08:01,14,65,Female,4,338
1001,Store_1001,Large,South,23,Electronics,"Florida, Urban",366.17499999999995,1,10,2023-07-25 17:42:53,4,45,Female,5,430
1874,Store_1874,Large,East,34,Electronics,"California, Urban",471.28,1,30,2023-05-25 07:26:30,12,25,Female,1,185
1660,Store_1660,Small,North,32,Electronics,"Texas, Suburban",340.75,1,10,2024-08-25 16:02:46,11,35,Male,3,162
1653,Store_1653,Large,North,74,Accessories,"California, Urban",265.291,0,15,2025-01-22 08:54:31,12,45,Female,3,103
1801,Store_1801,Medium,East,35,Electronics,"New York, Suburban",518.38,1,10,2020-07-10 01:18:52,4,18,Female,4,210
1206,Store_1206,Large,North,49,Footwear,"Florida, Urban",379.622,1,20,2022-09-03 08:59:14,7,25,Female,3,74
1340,Store_1340,Large,West,79,Accessories,"California, Coastal",209.846,0,25,2024-07-24 20:58:51,10,45,Female,1,432
1703,Store_1703,Medium,South,52,Footwear,"California, Urban",122.86,1,15,2020-02-05 05:14:04,12,35,Male,4,437
1406,Store_1406,Large,South,67,Accessories,"California, Urban",106.655,1,15,2024-05-14 01:04:00,11,35,Female,5,460
1852,Store_1852,Small,East,37,Electronics,"New York, Suburban",108.625,1,25,2020-04-29 03:41:14,9,18,Female,5,284
1305,Store_1305,Small,South,54,Footwear,"Texas, Rural",451.7370000000001,0,5,2023-12-09 10:55:34,14,25,Female,2,159
1506,Store_1506,Large,South,75,Accessories,"California, Suburban",205.27300000000002,1,15,2023-06-15 20:24:37,14,55,Male,6,486
1909,Store_1909,Small,South,14,Clothing,"New York, Suburban",410.988,0,15,2021-08-17 08:48:32,4,35,Female,4,235
1468,Store_1468,Medium,South,39,Electronics,"Florida, Urban",226.26,0,20,2023-09-10 09:47:23,8,25,Female,4,434
1763,Store_1763,Large,South,79,Accessories,"Illinois, Suburban",,,20,2022-03-10 23:59:26,12,,,,361
1715,Store_1715,Large,West,14,Clothing,"New York, Industrial",590.676,0,15,2022-01-23 22:13:04,11,35,Female,3,3
1873,Store_1873,Large,West,68,Accessories,"Illinois, Rural",55.016000000000005,0,5,2025-04-20 07:42:24,6,65,Female,5,348
1557,Store_1557,Large,East,13,Clothing,"California, Urban",406.40799999999996,1,10,2022-08-08 14:46:43,15,35,Female,5,104
1885,Store_1885,Large,South,24,Electronics,"California, Urban",232.70499999999998,1,0,2021-10-09 02:50:44,13,25,Male,5,92
1494,Store_1494,Large,East,52,Footwear,"New York, Downtown",55.682,0,5,2021-09-02 08:49:50,9,45,Male,3,321
1260,Store_1260,Large,East,1,Clothing,"Illinois, Suburban",58.44,0,5,2024-05-17 07:11:28,11,25,Female,1,84
1577,Store_1577,Medium,East,65,Accessories,"California, Urban",259.75600000000003,1,10,2020-02-13 07:00:57,12,35,Male,3,52
1661,Store_1661,Large,East,24,Electronics,"Florida, Urban",412.34999999999997,0,10,2020-07-14 05:39:34,6,25,Male,4,61
1581,Store_1581,Small,West,16,Clothing,"Texas, Urban",,,20,2025-12-02 01:17:57,9,,,,42
1363,Store_1363,Small,East,79,Accessories,"Texas, Suburban",374.517,0,0,2020-08-06 00:22:09,7,55,Male,2,380
1513,Store_1513,Large,East,80,Accessories,"California, Coastal",595.0,1,25,2020-07-31 10:43:49,7,65,Female,4,313
1540,Store_1540,Large,South,79,Accessories,"Illinois, Rural",120.799,1,30,2020-08-04 11:05:39,8,55,Male,2,181
1767,Store_1767,Medium,South,3,Clothing,"California, Suburban",499.45199999999994,0,30,2020-08-03 23:53:09,14,25,Female,5,393
1572,Store_1572,Small,East,16,Clothing,"Illinois, Urban",322.59599999999995,0,10,2020-11-22 18:56:14,19,35,Male,2,495
1611,Store_1611,Medium,North,7,Clothing,"Florida, Coastal",518.016,0,10,2024-06-17 22:57:01,11,25,Female,2,390
1895,Store_1895,Medium,South,45,Footwear,"Illinois, Rural",250.977,1,15,2021-09-11 10:33:56,10,25,Female,4,259
1454,Store_1454,Medium,West,20,Clothing,"California, Suburban",295.296,0,15,2024-08-31 01:46:55,4,18,Male,2,89
1143,Store_1143,Large,South,1,Clothing,"Florida, Suburban",260.328,0,10,2020-03-20 20:17:09,8,35,Female,3,354
1191,Store_1191,Small,South,11,Clothing,"New York, Downtown",68.724,0,15,2024-06-06 06:26:15,14,25,Male,3,32
1864,Store_1864,Medium,South,57,Footwear,"Texas, Rural",89.155,0,10,2020-05-22 06:06:24,17,35,Male,4,199
1352,Store_1352,Large,South,12,Clothing,"California, Urban",316.30799999999994,0,15,2024-03-29 12:10:36,11,35,Female,2,375
1781,Store_1781,Large,East,78,Accessories,"California, Urban",,,15,2024-01-16 19:35:30,19,,,,500
1298,Store_1298,Small,East,2,Clothing,"California, Suburban",287.06399999999996,0,0,2025-07-14 08:13:33,11,35,Female,3,123
1459,Store_1459,Large,East,70,Accessories,"Florida, Suburban",31.177,1,25,2025-12-03 21:27:25,9,55,Male,4,152
1426,Store_1426,Small,North,79,Accessories,"New York, Downtown",335.04900000000004,0,5,2022-12-03 18:46:46,11,35,Female,4,307
1837,Store_1837,Large,South,76,Accessories,"Illinois, Rural",98.18900000000001,0,30,2025-06-13 10:35:40,7,55,Male,2,294
1822,Store_1822,Medium,South,48,Footwear,"New York, Industrial",326.272,1,15,2023-12-10 17:31:51,4,35,Female,3,72
1715,Store_1715,Large,North,42,Footwear,"Florida, Coastal",166.375,0,10,2023-03-06 01:06:27,7,45,Male,9,438
1756,Store_1756,Large,East,45,Footwear,"California, Coastal",,,0,2021-09-25 08:15:49,8,,,,319
1030,Store_1030,Large,South,4,Clothing,"Texas, Rural",223.236,0,15,2025-09-15 16:10:59,8,18,Female,2,412
1331,Store_1331,Medium,South,64,Accessories,"California, Coastal",545.86,1,10,2022-06-23 01:29:37,5,65,Male,5,99
1969,Store_1969,Large,South,41,Footwear,"Illinois, Suburban",143.37400000000002,0,30,2024-03-04 06:45:34,12,35,Male,5,464
1935,Store_1935,Small,North,55,Footwear,"Texas, Suburban",123.135,1,25,2025-04-22 00:58:40,15,45,Female,2,353
1410,Store_1410,Small,East,13,Clothing,"California, Suburban",141.99599999999998,0,5,2025-03-09 11:39:26,11,25,Female,3,325
1051,Store_1051,Medium,North,57,Footwear,"Texas, Urban",,,15,2023-07-11 00:14:25,13,,,,30
1383,Store_1383,Large,South,6,Clothing,"New York, Downtown",511.128,0,10,2021-06-11 11:24:28,12,35,Female,1,258
1242,Store_1242,Medium,North,40,Electronics,"Florida, Coastal",576.51,0,20,2020-03-22 18:53:59,16,18,Male,3,498
1774,Store_1774,Large,South,53,Footwear,"California, Urban",255.69600000000003,1,10,2021-08-08 01:57:31,6,35,Male,1,267
1685,Store_1685,Small,South,32,Electronics,"Illinois, Rural",,,20,2023-05-28 23:18:59,10,,,,411
1611,Store_1611,Large,East,12,Clothing,"New York, Industrial",50.644,1,25,2022-01-28 10:26:26,12,25,Female,3,287
1416,Store_1416,Small,East,80,Accessories,"California, Coastal",407.017,0,15,2022-01-24 23:08:13,5,35,Male,5,112
1474,Store_1474,Medium,North,50,Footwear,"New York, Industrial",401.94100000000003,1,25,2024-07-24 00:16:05,12,45,Male,2,302
1391,Store_1391,Medium,North,2,Clothing,"Illinois, Rural",378.412,1,10,2020-11-12 23:23:20,9,35,Female,3,398
1388,Store_1388,Large,West,75,Accessories,"California, Urban",332.293,0,10,2022-08-18 15:28:19,11,55,Male,4,23
1572,Store_1572,Small,East,79,Accessories,"Illinois, Rural",642.71,1,20,2025-12-16 22:34:25,10,65,Male,1,38
1967,Store_1967,Large,South,24,Electronics,"Texas, Urban",43.135,1,10,2021-01-19 13:20:14,12,18,Female,5,456
1871,Store_1871,Medium,North,14,Clothing,"Illinois, Urban",,,10,2023-05-10 12:41:22,10,,,,319
1699,Store_1699,Large,South,61,Accessories,"Texas, Rural",189.00699999999998,0,10,2021-09-14 03:04:04,10,65,Male,4,126
1468,Store_1468,Medium,East,41,Footwear,"California, Coastal",217.51400000000004,0,20,2024-12-02 23:30:35,10,25,Male,3,456
1407,Store_1407,Small,West,58,Footwear,"Texas, Suburban",416.61400000000003,0,15,2020-08-20 21:32:58,9,35,Female,5,294
1518,Store_1518,Large,East,35,Electronics,"California, Coastal",191.935,1,20,2022-01-04 19:43:01,11,45,Male,1,266
1188,Store_1188,Medium,North,71,Accessories,"California, Coastal",475.179,1,10,2022-06-03 17:42:23,13,45,Male,2,86
1594,Store_1594,Medium,East,18,Clothing,"Florida, Suburban",,,25,2023-01-22 08:06:50,17,,,,120
1350,Store_1350,Small,West,50,Footwear,"California, Urban",527.957,1,25,2022-03-19 08:28:25,14,45,Female,2,381
1931,Store_1931,Large,South,64,Accessories,"Texas, Suburban",,,0,2020-03-31 05:15:40,15,,,,209
1282,Store_1282,Medium,West,74,Accessories,"Florida, Urban",606.541,0,10,2025-02-07 08:46:10,8,35,Male,3,461
1635,Store_1635,Small,East,38,Electronics,"Florida, Suburban",606.4449999999999,1,0,2020-01-14 06:31:44,4,35,Female,2,397
1156,Store_1156,Large,North,41,Footwear,"California, Suburban",112.76200000000001,1,5,2020-01-29 19:50:31,10,25,Female,4,95
1598,Store_1598,Small,North,47,Footwear,"Illinois, Suburban",229.93400000000003,1,25,2020-05-14 11:40:42,11,45,Male,8,345
1147,Store_1147,Large,North,4,Clothing,"Illinois, Rural",83.332,1,25,2021-03-03 21:01:47,13,35,Male,4,242
1069,Store_1069,Large,East,44,Footwear,"Florida, Urban",334.24600000000004,0,0,2024-12-05 04:15:26,16,45,Female,2,435
1971,Store_1971,Large,East,18,Clothing,"California, Coastal",576.792,0,0,2023-09-19 07:37:33,13,18,Male,4,231
1369,Store_1369,Small,South,49,Footwear,"Illinois, Urban",53.702000000000005,0,15,2025-02-17 12:14:10,14,35,Female,1,169
1587,Store_1587,Large,South,22,Electronics,"California, Coastal",204.71999999999997,0,5,2020-02-16 04:46:34,9,18,Male,4,314
1625,Store_1625,Medium,West,45,Footwear,"California, Urban",418.13200000000006,0,0,2022-02-06 01:07:07,8,25,Male,5,47
1514,Store_1514,Medium,South,6,Clothing,"Florida, Suburban",,,20,2021-02-24 22:01:22,13,,,,282
1233,Store_1233,Large,South,3,Clothing,"Florida, Suburban",221.308,1,10,2022-03-01 07:54:39,6,25,Female,5,320
1678,Store_1678,Medium,North,39,Electronics,"New York, Downtown",466.87,1,10,2021-05-26 15:48:17,12,18,Female,4,400
1610,Store_1610,Medium,South,45,Footwear,"Illinois, Urban",169.455,0,5,2023-08-30 19:00:21,5,45,Male,4,355
1635,Store_1635,Large,West,49,Footwear,"Illinois, Urban",188.254,0,15,2025-06-05 12:04:42,14,35,Male,3,50
1466,Store_1466,Medium,North,40,Electronics,"Illinois, Urban",607.485,0,20,2020-12-07 07:28:47,13,18,Female,4,500
1556,Store_1556,Small,South,46,Footwear,"Texas, Rural",232.068,1,10,2025-07-18 01:25:39,6,25,Female,1,496
1893,Store_1893,Medium,East,45,Footwear,"California, Urban",398.59700000000004,1,20,2023-11-05 02:41:06,12,35,Female,1,331
1835,Store_1835,Medium,East,6,Clothing,"Florida, Coastal",100.644,0,15,2025-07-30 04:16:39,6,18,Male,2,80
1286,Store_1286,Medium,North,55,Footwear,"Illinois, Suburban",225.96200000000002,0,10,2022-02-10 11:20:05,19,35,Female,3,435
1617,Store_1617,Small,North,51,Footwear,"New York, Downtown",308.48400000000004,0,15,2020-04-06 16:21:37,13,45,Female,4,409
1293,Store_1293,Medium,North,38,Electronics,"Illinois, Urban",211.46999999999997,0,5,2021-12-04 06:30:35,8,18,Female,4,373
1480,Store_1480,Large,East,39,Electronics,"California, Urban",324.87,0,25,2025-09-09 07:23:27,8,18,Female,5,357
1133,Store_1133,Small,East,72,Accessories,"California, Coastal",497.00300000000004,0,25,2024-10-05 23:50:42,9,65,Female,2,87
1007,Store_1007,Large,West,12,Clothing,"Florida, Coastal",116.968,1,10,2025-04-23 12:07:53,5,35,Female,5,499
1027,Store_1027,Large,North,47,Footwear,"Texas, Suburban",280.90700000000004,0,15,2023-12-11 22:51:12,14,25,Male,4,212
1782,Store_1782,Small,South,56,Footwear,"Florida, Suburban",152.09700000000004,0,20,2024-01-30 05:12:00,12,25,Female,3,104
1734,Store_1734,Small,East,72,Accessories,"Illinois, Rural",274.326,0,20,2020-10-15 14:41:09,12,45,Male,3,367
1519,Store_1519,Large,South,44,Footwear,"New York, Suburban",213.334,0,20,2023-08-25 03:15:05,17,25,Female,4,341
1309,Store_1309,Medium,East,10,Clothing,"Florida, Coastal",397.344,0,15,2021-01-12 00:37:12,10,35,Female,6,58
1645,Store_1645,Large,South,77,Accessories,"Texas, Urban",501.68300000000005,0,15,2022-02-27 20:05:19,4,35,Female,4,91
1540,Store_1540,Medium,South,15,Clothing,"Florida, Urban",,,25,2022-04-11 10:38:35,13,,,,100
1626,Store_1626,Medium,East,68,Accessories,"California, Coastal",129.119,1,15,2021-04-11 08:26:28,8,65,Female,4,481
1493,Store_1493,Small,South,74,Accessories,"Illinois, Urban",566.319,0,0,2024-11-20 02:02:02,11,55,Male,4,65
1033,Store_1033,Medium,East,38,Electronics,"Illinois, Suburban",151.85999999999999,0,20,2021-02-09 13:42:11,7,35,Female,2,384
1006,Store_1006,Medium,West,8,Clothing,"Illinois, Suburban",352.128,0,20,2023-02-04 12:45:07,8,35,Female,3,471
1039,Store_1039,Medium,East,54,Footwear,"Illinois, Urban",295.218,0,10,2024-10-09 03:54:17,12,45,Female,3,238
1329,Store_1329,Small,South,56,Footwear,"Illinois, Urban",165.50600000000003,0,15,2025-10-25 04:49:20,13,35,Male,5,233
1908,Store_1908,Large,East,19,Clothing,"Illinois, Urban",572.328,0,0,2025-11-20 16:08:18,13,25,Female,3,213
1061,Store_1061,Medium,North,47,Footwear,"New York, Downtown",375.72700000000003,0,15,2022-09-22 02:53:36,12,35,Female,2,464
1085,Store_1085,Large,North,57,Footwear,"Texas, Suburban",264.319,0,10,2025-10-26 14:16:42,11,35,Male,4,176
1724,Store_1724,Medium,East,5,Clothing,"Illinois, Rural",272.772,0,10,2025-08-30 11:26:43,14,18,Female,2,208
1115,Store_1115,Medium,East,73,Accessories,"Texas, Suburban",81.89,1,5,2022-12-09 16:10:15,8,45,Female,4,394
1576,Store_1576,Small,East,18,Clothing,"Illinois, Suburban",471.03599999999994,0,10,2023-09-21 01:57:10,7,18,Male,3,479
1296,Store_1296,Large,West,78,Accessories,"Florida, Coastal",66.287,0,25,2020-12-22 12:53:55,15,55,Female,2,108
